sample_id,task_type,check,template_family,review_status
pref_000001,preference_extraction,OK,output_style_length_v1,candidate_only
pref_000002,preference_extraction,OK,tool_choice_confirm_v1,candidate_only
pref_000003,preference_extraction,OK,temp_instruction_v1,candidate_only
pref_000004,preference_extraction,OK,update_revoke_v1,candidate_only
pref_000005,preference_extraction,OK,scope_app_v1,candidate_only
pref_000006,preference_extraction,OK,sensitive_no_store_v1,candidate_only
pref_000007,preference_extraction,OK,output_style_length_v1,candidate_only
pref_000008,preference_extraction,OK,tool_choice_confirm_v1,candidate_only
pref_000009,preference_extraction,OK,temp_instruction_v1,candidate_only
pref_000010,preference_extraction,OK,update_revoke_v1,candidate_only
pref_000011,preference_extraction,OK,scope_app_v1,candidate_only
pref_000012,preference_extraction,OK,sensitive_no_store_v1,candidate_only
pref_000013,preference_extraction,OK,output_style_length_v1,candidate_only
pref_000014,preference_extraction,OK,tool_choice_confirm_v1,candidate_only
pref_000015,preference_extraction,OK,temp_instruction_v1,candidate_only
pref_000016,preference_extraction,OK,update_revoke_v1,candidate_only
pref_000017,preference_extraction,OK,scope_app_v1,candidate_only
pref_000018,preference_extraction,OK,sensitive_no_store_v1,candidate_only
pref_000019,preference_extraction,OK,output_style_length_v1,candidate_only
pref_000020,preference_extraction,OK,tool_choice_confirm_v1,candidate_only
pref_000021,preference_extraction,OK,temp_instruction_v1,candidate_only
pref_000022,preference_extraction,OK,update_revoke_v1,candidate_only
pref_000023,preference_extraction,OK,scope_app_v1,candidate_only
pref_000024,preference_extraction,OK,sensitive_no_store_v1,candidate_only
pref_000025,preference_extraction,OK,output_style_length_v1,candidate_only
pref_000026,preference_extraction,OK,tool_choice_confirm_v1,candidate_only
pref_000027,preference_extraction,OK,temp_instruction_v1,candidate_only
pref_000028,preference_extraction,OK,update_revoke_v1,candidate_only
pref_000029,preference_extraction,OK,scope_app_v1,candidate_only
pref_000030,preference_extraction,OK,sensitive_no_store_v1,candidate_only
pref_000031,preference_extraction,OK,output_style_length_v1,candidate_only
pref_000032,preference_extraction,OK,tool_choice_confirm_v1,candidate_only
pref_000033,preference_extraction,OK,temp_instruction_v1,candidate_only
pref_000034,preference_extraction,OK,update_revoke_v1,candidate_only
pref_000035,preference_extraction,OK,scope_app_v1,candidate_only
pref_000036,preference_extraction,OK,sensitive_no_store_v1,candidate_only
pref_000037,preference_extraction,OK,output_style_length_v1,candidate_only
pref_000038,preference_extraction,OK,tool_choice_confirm_v1,candidate_only
pref_000039,preference_extraction,OK,temp_instruction_v1,candidate_only
pref_000040,preference_extraction,OK,update_revoke_v1,candidate_only
pref_000041,preference_extraction,OK,scope_app_v1,candidate_only
pref_000042,preference_extraction,OK,sensitive_no_store_v1,candidate_only
pref_000043,preference_extraction,OK,output_style_length_v1,candidate_only
pref_000044,preference_extraction,OK,tool_choice_confirm_v1,candidate_only
pref_000045,preference_extraction,OK,temp_instruction_v1,candidate_only
pref_000046,preference_extraction,OK,update_revoke_v1,candidate_only
pref_000047,preference_extraction,OK,scope_app_v1,candidate_only
pref_000048,preference_extraction,OK,sensitive_no_store_v1,candidate_only
pref_000049,preference_extraction,OK,output_style_length_v1,candidate_only
pref_000050,preference_extraction,OK,tool_choice_confirm_v1,candidate_only
pref_000051,preference_extraction,OK,temp_instruction_v1,candidate_only
pref_000052,preference_extraction,OK,update_revoke_v1,candidate_only
pref_000053,preference_extraction,OK,scope_app_v1,candidate_only
pref_000054,preference_extraction,OK,sensitive_no_store_v1,candidate_only
pref_000055,preference_extraction,OK,output_style_length_v1,candidate_only
pref_000056,preference_extraction,OK,tool_choice_confirm_v1,candidate_only
pref_000057,preference_extraction,OK,temp_instruction_v1,candidate_only
pref_000058,preference_extraction,OK,update_revoke_v1,candidate_only
pref_000059,preference_extraction,OK,scope_app_v1,candidate_only
pref_000060,preference_extraction,OK,sensitive_no_store_v1,candidate_only
retr_000001,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000002,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000003,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000004,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000005,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000006,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000007,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000008,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000009,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000010,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000011,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000012,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000013,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000014,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000015,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000016,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000017,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000018,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000019,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000020,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000021,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000022,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000023,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000024,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000025,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000026,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000027,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000028,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000029,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000030,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000031,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000032,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000033,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000034,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000035,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000036,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000037,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000038,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000039,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000040,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000041,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000042,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000043,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000044,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000045,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000046,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000047,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000048,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000049,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000050,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000051,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000052,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000053,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000054,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000055,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000056,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000057,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000058,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000059,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
retr_000060,knowledge_retrieval,OK,os_knowledge_retrieval_v1,candidate_only
conf_000001,conflict_resolution,OK,conflict_time_update_v1,candidate_only
conf_000002,conflict_resolution,OK,conflict_scope_v1,candidate_only
conf_000003,conflict_resolution,OK,conflict_source_v1,candidate_only
conf_000004,conflict_resolution,OK,conflict_knowledge_version_v1,candidate_only
conf_000005,conflict_resolution,OK,conflict_safety_v1,candidate_only
conf_000006,conflict_resolution,OK,conflict_time_update_v1,candidate_only
conf_000007,conflict_resolution,OK,conflict_scope_v1,candidate_only
conf_000008,conflict_resolution,OK,conflict_source_v1,candidate_only
conf_000009,conflict_resolution,OK,conflict_knowledge_version_v1,candidate_only
conf_000010,conflict_resolution,OK,conflict_safety_v1,candidate_only
conf_000011,conflict_resolution,OK,conflict_time_update_v1,candidate_only
conf_000012,conflict_resolution,OK,conflict_scope_v1,candidate_only
conf_000013,conflict_resolution,OK,conflict_source_v1,candidate_only
conf_000014,conflict_resolution,OK,conflict_knowledge_version_v1,candidate_only
conf_000015,conflict_resolution,OK,conflict_safety_v1,candidate_only
conf_000016,conflict_resolution,OK,conflict_time_update_v1,candidate_only
conf_000017,conflict_resolution,OK,conflict_scope_v1,candidate_only
conf_000018,conflict_resolution,OK,conflict_source_v1,candidate_only
conf_000019,conflict_resolution,OK,conflict_knowledge_version_v1,candidate_only
conf_000020,conflict_resolution,OK,conflict_safety_v1,candidate_only
conf_000021,conflict_resolution,OK,conflict_time_update_v1,candidate_only
conf_000022,conflict_resolution,OK,conflict_scope_v1,candidate_only
conf_000023,conflict_resolution,OK,conflict_source_v1,candidate_only
conf_000024,conflict_resolution,OK,conflict_knowledge_version_v1,candidate_only
conf_000025,conflict_resolution,OK,conflict_safety_v1,candidate_only
conf_000026,conflict_resolution,OK,conflict_time_update_v1,candidate_only
conf_000027,conflict_resolution,OK,conflict_scope_v1,candidate_only
conf_000028,conflict_resolution,OK,conflict_source_v1,candidate_only
conf_000029,conflict_resolution,OK,conflict_knowledge_version_v1,candidate_only
conf_000030,conflict_resolution,OK,conflict_safety_v1,candidate_only
conf_000031,conflict_resolution,OK,conflict_time_update_v1,candidate_only
conf_000032,conflict_resolution,OK,conflict_scope_v1,candidate_only
conf_000033,conflict_resolution,OK,conflict_source_v1,candidate_only
conf_000034,conflict_resolution,OK,conflict_knowledge_version_v1,candidate_only
conf_000035,conflict_resolution,OK,conflict_safety_v1,candidate_only
conf_000036,conflict_resolution,OK,conflict_time_update_v1,candidate_only
conf_000037,conflict_resolution,OK,conflict_scope_v1,candidate_only
conf_000038,conflict_resolution,OK,conflict_source_v1,candidate_only
conf_000039,conflict_resolution,OK,conflict_knowledge_version_v1,candidate_only
conf_000040,conflict_resolution,OK,conflict_safety_v1,candidate_only
forg_000001,precise_forgetting,OK,forget_scoped_v1,candidate_only
forg_000002,precise_forgetting,OK,forget_time_v1,candidate_only
forg_000003,precise_forgetting,OK,forget_person_v1,candidate_only
forg_000004,precise_forgetting,OK,forget_revoke_v1,candidate_only
forg_000005,precise_forgetting,OK,forget_scoped_v1,candidate_only
forg_000006,precise_forgetting,OK,forget_time_v1,candidate_only
forg_000007,precise_forgetting,OK,forget_person_v1,candidate_only
forg_000008,precise_forgetting,OK,forget_revoke_v1,candidate_only
forg_000009,precise_forgetting,OK,forget_scoped_v1,candidate_only
forg_000010,precise_forgetting,OK,forget_time_v1,candidate_only
forg_000011,precise_forgetting,OK,forget_person_v1,candidate_only
forg_000012,precise_forgetting,OK,forget_revoke_v1,candidate_only
forg_000013,precise_forgetting,OK,forget_scoped_v1,candidate_only
forg_000014,precise_forgetting,OK,forget_time_v1,candidate_only
forg_000015,precise_forgetting,OK,forget_person_v1,candidate_only
forg_000016,precise_forgetting,OK,forget_revoke_v1,candidate_only
forg_000017,precise_forgetting,OK,forget_scoped_v1,candidate_only
forg_000018,precise_forgetting,OK,forget_time_v1,candidate_only
forg_000019,precise_forgetting,OK,forget_person_v1,candidate_only
forg_000020,precise_forgetting,OK,forget_revoke_v1,candidate_only
forg_000021,precise_forgetting,OK,forget_scoped_v1,candidate_only
forg_000022,precise_forgetting,OK,forget_time_v1,candidate_only
