dataset_id,license,download,research,modify,internal_demo,public_display,redistribute,commercial,verdict,reviewer,status
longmemeval_cleaned_2025,MIT（仓库 LICENSE 原文已存档）,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,已确认,Reviewer（待批准）,已存档/待确认
longmemeval_v2_2026,Apache-2.0（仓库 LICENSE 原文已存档）,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,已确认,Reviewer（待批准）,已存档/待确认
locomo_2024,待核验,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,待人工/法务确认,Reviewer（待批准）,已存档/待确认
stabletoolbench_2024,Apache-2.0（仓库 LICENSE 原文已存档）,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,已确认,Reviewer（待批准）,已存档/待确认
toolbench_2024,Apache-2.0（官方 README 声明）,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,待人工/法务确认,Reviewer（待批准）,已存档/待确认
t2ranking_2023,Apache-2.0（HF 官方 Data Card 声明，revision 2a369a430a70 存档）,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,已确认,gaoyizhe934（Data-R 已批准 2026-09-06）,已批准
dureader_retrieval_2022,待核验,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,待人工/法务确认,Reviewer（待批准）,已存档/待确认
multiwoz_2_2_2020,MIT（仓库 LICENSE 原文已存档）,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,已确认,Reviewer（待批准）,已存档/待确认
dailydialog_2017,站点条款待核验,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,待人工/法务确认,Reviewer（待批准）,已存档/待确认
personachat_2018,待核验,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,待人工/法务确认,Reviewer（待批准）,已存档/待确认
msmarco_2021,Microsoft Research License/Notice 待核验,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,待人工/法务确认,Reviewer（待批准）,已存档/待确认
trec_tracks_2024,NIST 官方条款待核验,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,待人工/法务确认,Reviewer（待批准）,已存档/待确认
bpmn_2_0_2013,OMG 标准使用条款,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,允许/待确认,待人工/法务确认,Reviewer（待批准）,已存档/待确认
