split,file,samples,template_families,hash_sha256,sealed
dev,data/gold/dev/preference_extraction.jsonl,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,否
regression,data/gold/regression/preference_extraction.jsonl,40,4,008a9ec004498e74d02ba60277b4aec98182d2138e2a62d1340e13e8e20cbb0b,否
sealed_test,data/gold/sealed_test/preference_extraction.jsonl,20,2,3f68be3cf23a41faa4ac32164a41555bedeb20c76d79dc3943e56d9b4260c691,待 Reviewer 批准
dev,data/gold/dev/knowledge_retrieval.jsonl,60,1,f2898f305647a3b4cd5112e485d52a7ce041aec016c83078a829ee293c8af050,否
regression,data/gold/regression/knowledge_retrieval.jsonl,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,否
sealed_test,data/gold/sealed_test/knowledge_retrieval.jsonl,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,待 Reviewer 批准
dev,data/gold/dev/conflict_resolution.jsonl,32,4,9c1d6d117754dcaa36ae6836ddca52837553a5ac26da64631390c41b36f8f351,否
regression,data/gold/regression/conflict_resolution.jsonl,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,否
sealed_test,data/gold/sealed_test/conflict_resolution.jsonl,8,1,e54f625af7fa4e3bbce95329cb550d98023ad1e8c826a952b2b5d3d5c55a1355,待 Reviewer 批准
dev,data/gold/dev/precise_forgetting.jsonl,40,4,340056549dc749294b08209fb5d675b63254484008f7cfa6bf4d93130e0eeed0,否
regression,data/gold/regression/precise_forgetting.jsonl,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,否
sealed_test,data/gold/sealed_test/precise_forgetting.jsonl,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,待 Reviewer 批准
dev,data/gold/dev/tool_result.jsonl,30,3,6629de23fbb658e165b1121715b7e682a5aa4818905dd71b97c5ebabab441ce6,否
regression,data/gold/regression/tool_result.jsonl,10,1,71d2e3d8acdcc95afd8a872b093d3883e9787e459ecd52de9b8c06633594c590,否
sealed_test,data/gold/sealed_test/tool_result.jsonl,10,1,3863ddf1c417403abf89d92c02449682fe135bc8c9c76287a1d7b183fb859c39,待 Reviewer 批准
dev,data/gold/dev/end_to_end_session.jsonl,15,1,0716cb859cc8ef262d8da991b8c6490f00fa3a0f767f490f085069aa5d2ea50b,否
regression,data/gold/regression/end_to_end_session.jsonl,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,否
sealed_test,data/gold/sealed_test/end_to_end_session.jsonl,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,待 Reviewer 批准
