dataset_id,source_file,record_index,record_id,anomaly_type,severity,detail
bpmn_2_0_2013,v0_sample\bpmn_2_0.pdf,0,,unhandled_type,medium,非结构化数据文件，脚本未解析，需人工检查
longmemeval_cleaned_2025,v0_sample\longmemeval_oracle.json,32,gpt4_d9af6064,sensitive_hit,low,"低危敏感模式抽样（共命中见统计, 判定合成/真实由人工）: {'private_ip': 3}"
longmemeval_cleaned_2025,v0_sample\longmemeval_oracle.json,135,031748ae,sensitive_hit,low,"低危敏感模式抽样（共命中见统计, 判定合成/真实由人工）: {'email': 2}"
longmemeval_cleaned_2025,v0_sample\longmemeval_oracle.json,144,5a4f22c0,sensitive_hit,low,"低危敏感模式抽样（共命中见统计, 判定合成/真实由人工）: {'email': 19}"
longmemeval_cleaned_2025,v0_sample\longmemeval_oracle.json,170,50635ada,sensitive_hit,low,"低危敏感模式抽样（共命中见统计, 判定合成/真实由人工）: {'email': 2}"
longmemeval_cleaned_2025,v0_sample\longmemeval_oracle.json,193,031748ae_abs,sensitive_hit,low,"低危敏感模式抽样（共命中见统计, 判定合成/真实由人工）: {'email': 2}"
longmemeval_v2_2026,v0_sample\questions.jsonl,282,499488a6,null_string,low,"字段 answer 值为字符串 ""none""（疑似 null 字符串化）"
longmemeval_v2_2026,v0_sample\questions.jsonl,403,d1d8cf9f,null_string,low,"字段 answer 值为字符串 ""none""（疑似 null 字符串化）"
stabletoolbench_2024,v0_sample\stabletoolbench_queries_sample.json,0,588,duplicate_id,high,ID 重复（首见于 v0_sample\G1_instruction.json#0）
stabletoolbench_2024,v0_sample\stabletoolbench_queries_sample.json,0,588,duplicate_record,medium,整条记录与 v0_sample\G1_instruction.json#0 完全重复
stabletoolbench_2024,v0_sample\stabletoolbench_queries_sample.json,1,608,duplicate_id,high,ID 重复（首见于 v0_sample\G1_instruction.json#1）
stabletoolbench_2024,v0_sample\stabletoolbench_queries_sample.json,1,608,duplicate_record,medium,整条记录与 v0_sample\G1_instruction.json#1 完全重复
stabletoolbench_2024,v0_sample\stabletoolbench_queries_sample.json,2,1073,duplicate_id,high,ID 重复（首见于 v0_sample\G1_instruction.json#2）
stabletoolbench_2024,v0_sample\stabletoolbench_queries_sample.json,2,1073,duplicate_record,medium,整条记录与 v0_sample\G1_instruction.json#2 完全重复
stabletoolbench_2024,v0_sample\stabletoolbench_query_ids_sample.json,0,,missing_field,high,缺失 ID 字段 query_id
stabletoolbench_2024,v0_sample\stabletoolbench_query_ids_sample.json,0,,missing_label,high,标签字段 relevant APIs 为空
stabletoolbench_2024,v0_sample\stabletoolbench_query_ids_sample.json,0,,missing_evidence,medium,证据字段 api_list 为空（标签-证据可推导性存疑，需人工核）
stabletoolbench_2024,v0_sample\stabletoolbench_sample_1073.json,0,,missing_field,high,缺失 ID 字段 query_id
stabletoolbench_2024,v0_sample\stabletoolbench_sample_1073.json,0,,missing_label,high,标签字段 relevant APIs 为空
stabletoolbench_2024,v0_sample\stabletoolbench_sample_1073.json,0,,missing_evidence,medium,证据字段 api_list 为空（标签-证据可推导性存疑，需人工核）
stabletoolbench_2024,v0_sample\stabletoolbench_sample_1073_dfs.json,0,,missing_field,high,缺失 ID 字段 query_id
stabletoolbench_2024,v0_sample\stabletoolbench_sample_1073_dfs.json,0,,missing_label,high,标签字段 relevant APIs 为空
stabletoolbench_2024,v0_sample\stabletoolbench_sample_1073_dfs.json,0,,missing_evidence,medium,证据字段 api_list 为空（标签-证据可推导性存疑，需人工核）
stabletoolbench_2024,v0_sample\stabletoolbench_sample_588.json,0,,missing_field,high,缺失 ID 字段 query_id
stabletoolbench_2024,v0_sample\stabletoolbench_sample_588.json,0,,missing_label,high,标签字段 relevant APIs 为空
stabletoolbench_2024,v0_sample\stabletoolbench_sample_588.json,0,,missing_evidence,medium,证据字段 api_list 为空（标签-证据可推导性存疑，需人工核）
stabletoolbench_2024,v0_sample\stabletoolbench_query_ids_sample.json,0,,length_anomaly,medium,字段 query 长度为 0
stabletoolbench_2024,v0_sample\stabletoolbench_sample_1073.json,0,,length_anomaly,medium,字段 query 长度为 0
stabletoolbench_2024,v0_sample\stabletoolbench_sample_1073_dfs.json,0,,length_anomaly,medium,字段 query 长度为 0
stabletoolbench_2024,v0_sample\stabletoolbench_sample_588.json,0,,length_anomaly,medium,字段 query 长度为 0
